uid,arota,bladder,duodenum,esophagus,gall bladder,left adrenal gland,left kidney,liver,pancreas,postcava,prostate/uterus,right adrenal gland,right kidney,spleen,stomach
amos_0320,0.9207237105071547,0.897025806242237,0.7996518018388674,0.8751755016306451,0.8215772500732923,0.84,0.7297733093047519,0.9757203165522672,0.8953432155074116,0.7346531477752632,,0.813499804916114,0.03137406927159223,0.9671663651102839,0.9390984886981725
amos_0296,0.8797169133908928,0.8308343216128722,0.716724292831668,0.7951744375611347,0.7535006605019815,0.7879623248334482,0.9354544302192926,0.9692753670997777,0.8942540905901037,0.7881373768296183,,0.8147065984903823,0.9086605259095353,0.971245257100738,0.923377462833066
amos_0400,0.8916100995469016,0.6842418039552313,0.695308564231738,0.5606557377049181,0.8263925143568531,0.7462131278235451,0.9273137945727022,0.9616539935265085,0.8276100324742625,0.8672813531734656,,0.7857948139797069,0.8732876105410531,0.931637519872814,0.9279722891975414
amos_0351,0.9331204803992049,0.8591142857142857,0.751693810242119,0.8781413774604878,0.9071165724799579,0.6997009323872633,0.6673420939491934,0.9632392681768883,0.8676470588235294,0.8071470645984685,,0.7640493440375955,0.8427575914707407,0.9620939327060828,0.9318942724065388
amos_0317,0.9326685946454234,0.8536093482947835,0.7590062255281304,0.8127951528111913,0.8910562685093781,0.6167172577182202,0.9562441709249018,0.8724864220426547,0.8547154317478365,0.6589001928319702,,0.45438139161820734,0.9610532525929345,0.9647521101295168,0.6311255349893055
amos_0244,0.930911343641743,0.670801172941454,0.7290398791811834,0.8318661778587579,0.9502274641954507,0.8125502815768303,0.9613967546098302,0.9740286413974649,0.897813142992407,0.9066998328100151,,0.8017463782496527,0.9598311648830006,0.9690353911941036,0.9626754460639056
amos_0079,0.9205215701340083,0.20304425606750381,0.6852161332967499,0.7973311092577148,,0.6520239607914322,0.9369023992187959,0.9318650254401447,0.56746727266134,0.6469105825653477,,0.7122861586314152,0.9325564559445132,0.860888046412775,0.5463864979420399
amos_0015,0.8810629101968945,0.8124048319967516,0.7848023325304696,0.7366371878302465,0.6773248068212097,0.8447653429602888,0.9349574572632995,0.9729936150062628,0.8099524881220305,0.7925161133897722,,0.6394869445716903,0.9272676423976881,0.949874686716792,0.9438287157920421
amos_0362,0.9013060560634119,0.11209626345788473,0.7830740623157513,0.8458053995289002,0.42221836830760845,0.8671749598715891,0.9587317183779902,0.9575891393791908,0.8054704410648525,0.8138613861386138,,0.8578640776699029,0.9671949141155921,0.9630831407338559,0.9491030409884825
amos_0144,0.9287398407811156,0.854758947195725,0.8442090878032115,0.8533786217899233,0.9026091449237923,0.8758512310110005,0.970601922642237,0.9744028748900009,0.8851427728903524,0.9110295915871851,,0.8659038901601831,0.9690359552638876,0.9720744262191858,0.9631867846444218
amos_0581,0.9449965045440927,,0.473706732597946,0.7096496266513498,0.3194553331957912,0.1968040370058873,0.9589353206534992,0.927911295028914,0.777989187015803,0.7717986850344396,,0.49303996407723394,0.9212690747704948,0.9321893872790489,0.7855645299879704
amos_0368,0.9377657220907639,0.9159450897571277,0.760906570692087,0.8379541932150852,0.8613367625380297,0.5740153915799004,0.8764081485161932,0.9586633960404088,0.7595844478040082,0.8666745920884477,,0.8459337964854925,0.9295434455110247,0.9465048866279403,0.918324938760906
amos_0591,0.8376101556737451,,0.6997264021887825,0.8427835051546392,0.886954740937948,0.6968174204355109,0.9462322526383243,0.5569562382621028,0.6692478357332405,0.5521578173335362,,0.5134649910233393,0.8550108459869848,0.9524326808581755,0.7310688606736001
amos_0576,0.9386288695309809,,0.2728540440037186,0.8428739693757361,0.0,0.7606752730883813,0.942287921309289,0.6442074286661216,0.7226131879754302,0.2138157894736842,,0.7450980392156863,0.9355099112027985,0.961316886231562,0.7764778055299943
amos_0568,0.9059023854612581,,0.5258890108961906,0.6930387875674288,0.760624564567026,0.6033323589593687,0.9567857200323959,0.929708598445229,0.7812904009989061,0.8641334623391093,,0.5848787446504993,0.9137337964924171,0.9261830991518194,0.7507515661669155
amos_0390,0.908234314197587,0.8589707808239765,0.792033856111526,0.8362882322446864,0.9302709218958188,0.604301809491294,0.9365310646290682,0.9558831354459667,0.7734259844177722,0.7450908163554447,,0.48911465892597966,0.9324848991934004,0.9558680132774884,0.9177378102094348
amos_0018,0.9458219288359362,0.8786833520509119,0.6272665740443875,0.8205996131528046,0.8787975018524399,0.7433563887877684,0.9611590931396604,0.9653035754331568,0.848385778504291,0.8509380953918687,,0.6385786802030456,0.9513512189746164,0.9612244283088789,0.9251430035003841
amos_0517,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
amos_0191,0.917174236247662,0.9563905941330161,0.7981888604004146,0.8005644402634055,,0.8729261622607111,0.9585850956696879,0.9684622790737026,0.9137164367515438,0.7745175301944541,,0.8173624288425048,0.9501201528893342,0.9488347196796951,0.9442419646242723
amos_0342,0.9244011001218101,0.9194974897949608,0.7941280899151536,0.7197795224194513,0.908209038914433,0.7058341862845445,0.9695847261119643,0.9551260511731473,0.9116156103713405,0.894878842129151,,0.7765772046009063,0.967039644441358,0.7750436412368891,0.9309084432986193
amos_0089,0.8700754895022411,0.9449295946560735,0.8005429493418019,0.8371103777044371,0.9347059914672603,0.7370827617741198,0.9571264000888284,0.9734754384539,0.8873903589142172,0.8857517711886644,,0.7505022097227803,0.9603539637292108,0.9654651162790697,0.9517833105759081
amos_0099,0.8620870392620128,0.551495308620273,0.7564636040834443,0.7556223938751795,0.7897669975054402,0.7344351369707947,0.939395562857534,0.9632314766599842,0.8326269448470099,0.6551987925651788,,0.7096269240803548,0.9207869176315645,0.9286159323542501,0.9386890787446407
amos_0350,0.9082632603718681,0.09614031944909125,0.7770728449604438,0.7608345506985804,0.8904134650567143,0.5196205260888314,0.963883372667039,0.9619369544285491,0.8906947023221046,0.7027384356046208,,0.5330623729873378,0.9635484055647793,0.9221670024263515,0.9343559170400508
amos_0377,0.9348518095002627,0.8972914358454539,0.7270456277088719,0.8821924925314976,0.855413584398117,0.8413857026995714,0.9205713780435849,0.9566924122541663,0.8413976012824494,0.739415767273782,,0.7710904054394359,0.9418587571479945,0.9470321373347511,0.9417448288101169
amos_0228,0.9053627143815585,0.3976627416786436,0.7705821299953329,0.8780440383026297,0.9169362676572007,0.7504916136495083,0.9513593967056956,0.9682911992564057,0.8388031523719623,0.7883129716133669,,0.641279261457303,0.7077485904912162,0.9368748029947492,0.9442018707530291
